experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.34,0.13,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,7.61178e-15,0.3,0.208326,6.12818e-09,0.3,-0.0926023,-0.0916739,0.000928441,0.000928441,0.34,0.13,0.34098,0.129129,0.000980214,-0.000871102,0.00185132,True
pair_action_decrease,0.34,0.13,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,7.61178e-15,0.3,0.205551,1.86664e-18,0.3,-0.0926023,-0.0944489,-0.00184657,0.00184657,0.34,0.13,0.33805,0.13055,-0.00194955,0.000549735,-0.00249929,True
pair_action_increase,0.34,0.16,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,1.01665e-90,0.3,0.208326,-1.4651e-89,0.3,-0.0926023,-0.0916739,0.000928435,0.000928435,0.34,0.16,0.34098,0.158407,0.000980214,-0.00159282,0.00257304,True
pair_action_decrease,0.34,0.16,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,1.01665e-90,0.3,0.205551,1.46297e-90,0.3,-0.0926023,-0.0944489,-0.00184657,0.00184657,0.34,0.16,0.33805,0.159832,-0.00194955,-0.000168065,-0.00178149,True
pair_action_increase,0.34,0.24,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,5.18348e-123,0.3,0.208326,8.82796e-122,0.3,-0.0926021,-0.0916737,0.000928409,0.000928409,0.34,0.24,0.34098,0.236679,0.000980209,-0.00332101,0.00430122,True
pair_action_decrease,0.34,0.24,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207398,5.18348e-123,0.3,0.205551,4.05447e-122,0.3,-0.0926021,-0.0944487,-0.00184659,0.00184659,0.34,0.24,0.33805,0.238123,-0.00194955,-0.00187733,-7.22268e-05,True
pair_action_increase,0.46,0.1,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,0.299869,0.000130931,0.32092,0.299737,0.000262981,0.321127,0.320657,-0.00047006,-0.00047006,0.46,0.1,0.459644,0.0998904,-0.000355612,-0.000109542,-0.00024607,False
pair_action_decrease,0.46,0.1,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,0.299869,0.000130931,0.318135,0.299737,0.000262981,0.321127,0.317872,-0.00325509,0.00325509,0.46,0.1,0.456714,0.101311,-0.00328613,0.00131127,-0.0045974,True
pair_action_increase,0.46,0.13,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,7.61178e-15,0.3,0.32092,6.12818e-09,0.3,0.0212581,0.0209201,-0.000338005,-0.000338005,0.46,0.13,0.459644,0.129129,-0.000355612,-0.000871102,0.00051549,False
pair_action_decrease,0.46,0.13,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,7.61178e-15,0.3,0.318135,1.86664e-18,0.3,0.0212581,0.018135,-0.00312304,0.00312304,0.46,0.13,0.456714,0.13055,-0.00328613,0.000549735,-0.00383587,True
pair_action_increase,0.46,0.16,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,1.01665e-90,0.3,0.32092,-1.4651e-89,0.3,0.0212581,0.0209201,-0.000338011,-0.000338011,0.46,0.16,0.459644,0.158407,-0.000355612,-0.00159282,0.00123721,False
pair_action_decrease,0.46,0.16,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,1.01665e-90,0.3,0.318135,1.46297e-90,0.3,0.0212581,0.018135,-0.00312304,0.00312304,0.46,0.16,0.456714,0.159832,-0.00328613,-0.000168065,-0.00311807,True
pair_action_increase,0.46,0.24,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,5.18245e-123,0.3,0.32092,8.82769e-122,0.3,0.0212583,0.0209203,-0.000338042,-0.000338042,0.46,0.24,0.459644,0.236679,-0.000355616,-0.00332101,0.00296539,False
pair_action_decrease,0.46,0.24,0.75,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321258,5.18245e-123,0.3,0.318135,4.0542e-122,0.3,0.0212583,0.0181353,-0.00312304,0.00312304,0.46,0.24,0.456714,0.238123,-0.00328613,-0.00187733,-0.00140881,True
