cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
10,initial_eval,10,1,False,False,0.117347,0.112335,0.00501138,0.0973861,0.0997386,0.00617322,0.00609852,0.112329,0.11734,True,0.25520937499999996,0.266937,0.262336,0.216655,0.287728,0.241814,0.236932,0.266937,0.262336,0.33747,0.337439,1.1397,1.13969
11,initial_eval,11,1,False,False,0.117345,0.112334,0.00501139,0.0973852,0.0997376,0.00617342,0.00609872,0.112328,0.117339,True,0.25520724999999994,0.266935,0.262334,0.216653,0.287726,0.241812,0.236929,0.266935,0.262334,0.33747,0.337439,1.13973,1.13972
12,train,0,0,True,True,0.155492,0.162804,-0.00731179,0.190506,0.198044,0.00659813,0.00632928,0.155487,0.162799,False,0.0366706625,0.0291125,0.079879,-1.93204e-25,0.0836151,-2.26034e-25,0.0433593,0.0252772,0.0321222,0.33612,0.336109,0.560944,1.19999
13,train,1,0,True,True,0.136021,0.13556,0.000461369,0.162938,0.163772,0.00837785,0.00836497,0.136013,0.135552,True,0.06594619624999999,0.0922687,0.0925456,0.00334267,0.157206,0.0163251,0.0827337,0.046271,0.0368768,0.338445,0.338424,1.19999,0.719201
14,train,2,0,True,True,0.124476,0.118871,0.00560534,0.0893082,0.0879455,0.0146684,0.0146955,0.124469,0.118864,True,0.153558875,0.198262,0.143341,0.143162,0.169639,0.12123,0.141299,0.151801,0.159737,0.342961,0.343115,0.19866,1.2
15,train,3,0,True,True,0.157425,0.146918,0.0105066,0.192305,0.181538,-0.00129149,-0.000946057,0.157417,0.146911,True,0.0502035875,0.0419193,0.071324,0.0436037,0.0678528,0.0196592,0.0607946,0.046007,0.0504681,0.336007,0.336131,1.2,0.46899
16,train,4,0,True,True,0.150617,0.133189,0.0174283,0.18346,0.165739,0.000903188,0.00150546,0.150609,0.133182,True,0.063739425,0.073631,0.046796,0.0979344,0.0366915,0.0483767,0.0553756,0.0793199,0.0717903,0.337038,0.337341,0.169258,1.2
17,train,5,0,True,True,0.154915,0.132038,0.0228776,0.188872,0.165534,-0.00183815,-0.000968246,0.154907,0.13203,True,0.05852571250000001,0.0701418,0.0667656,0.0700269,0.0318678,0.0347374,0.0512981,0.0678244,0.0755437,0.336455,0.33674,0.162391,1.2
18,train,6,1,True,True,0.0942187,0.114709,-0.0204901,0.0992915,0.0905708,0.00606486,0.00667942,0.114702,0.0942135,False,0.254449875,0.266288,0.261464,0.216008,0.286853,0.24116,0.236074,0.266288,0.261464,0.33734,0.337748,0.0113576,1.2
19,train,7,1,True,True,0.0936448,0.112673,-0.0190286,0.0907136,0.0989199,0.00790844,0.00615524,0.112667,0.0936397,False,0.25432525000000006,0.266181,0.261321,0.215902,0.28671,0.241052,0.235934,0.266181,0.261321,0.338228,0.337142,0.00113441,1.2
