cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
61,train,1,1,True,True,0.307615,0.272453,0.0351619,0.229805,0.300938,0.0206171,0.0374858,0.272438,0.307598,True,0.0640182175,0.0534706,0.121022,-1.34534e-26,0.184046,0.00493534,0.0661389,0.0401901,0.0423428,0.330821,0.299627,-2.99876e-57,0.00721951
62,train,2,1,True,True,0.306431,0.286006,0.0204244,0.200558,0.235751,0.0113614,0.00731375,0.28599,0.306414,True,0.08946856249999999,0.0953092,0.0577597,0.141868,0.0312645,0.0797209,0.0791692,0.115709,0.114948,0.336748,0.335958,0.00288517,0.00302784
63,train,3,0,True,True,0.294162,0.296011,-0.00184837,0.253606,0.212368,0.00497702,0.0109802,0.294146,0.295994,False,0.0859856125,0.188749,0.0499643,0.0881723,0.0892513,0.0482415,0.110851,0.0695574,0.0430981,0.334005,0.335377,0.0028867,0.00300316
64,train,0,0,True,True,0.293955,0.287593,0.00636205,0.251884,0.203103,0.00710538,0.00911151,0.293939,0.287577,True,0.08423346250000001,0.0487667,0.190872,0.039286,0.0847449,0.0425186,0.0574465,0.12771,0.082523,0.33361,0.335912,0.002873,0.00295973
65,train,1,1,True,True,0.302303,0.268578,0.0337251,0.224269,0.295698,0.0216311,0.0418115,0.268563,0.302286,True,0.06350365749999999,0.0527533,0.120403,-1.31968e-26,0.183876,0.00451716,0.0650269,0.0400154,0.0414375,0.330554,0.260552,2.45483e-65,0.0116124
66,train,2,1,True,True,0.298371,0.277431,0.0209406,0.195784,0.230648,0.0261961,0.0232862,0.277416,0.298355,True,0.088880875,0.0947115,0.0569272,0.141175,0.0305003,0.0793735,0.0788145,0.115202,0.114343,0.336734,0.33511,0.00281057,0.00297521
67,train,3,0,True,True,0.28618,0.286874,-0.000693149,0.248375,0.206236,0.00536237,0.0114008,0.286165,0.286858,False,0.08555006250000001,0.189225,0.0491189,0.0874642,0.0886634,0.0477346,0.110749,0.0691419,0.0423035,0.333914,0.335338,0.0027988,0.00289327
68,train,0,0,True,True,0.28689,0.27718,0.00970977,0.246387,0.19739,0.00864402,0.0122007,0.286874,0.277165,True,0.0837538,0.0480423,0.190462,0.0385644,0.0837179,0.0422281,0.0566415,0.128739,0.0816352,0.330616,0.334786,0.0028058,0.00289384
69,train,1,1,True,True,0.295781,0.263655,0.0321261,0.218799,0.290526,0.0227003,0.0460959,0.263641,0.295765,True,0.062988495,0.0520277,0.119782,-1.29403e-26,0.183716,0.00409616,0.0639093,0.0398528,0.040524,0.330288,0.204891,-2.03291e-71,0.0169381
70,train,2,1,True,True,0.292432,0.271733,0.0206994,0.191159,0.22566,0.0114711,0.00747249,0.271718,0.292416,True,0.08828035000000001,0.0941049,0.0560861,0.140467,0.0297346,0.0790154,0.0784488,0.114676,0.11371,0.336721,0.335909,0.00275827,0.00291879
71,train,3,0,True,True,0.281135,0.280551,0.00058414,0.243234,0.200217,0.00576309,0.0118149,0.28112,0.280536,True,0.0851046125,0.189661,0.0482737,0.0867375,0.088073,0.0472211,0.11065,0.06872,0.0415006,0.333816,0.335296,0.00274844,0.00284399
72,train,0,0,True,True,0.280785,0.271489,0.00929678,0.241075,0.191786,0.00823448,0.00972068,0.28077,0.271474,True,0.0832647375,0.047308,0.190029,0.0378412,0.0826824,0.0419476,0.0558321,0.129738,0.0807396,0.333372,0.335913,0.00275259,0.00284198
